season,dic-mar,dic-mar,dic-mar,dic-mar,jun-sep,jun-sep,jun-sep,mar-jun,mar-jun,mar-jun,mar-jun,sep-dic,sep-dic,sep-dic,sep-dic,total_anomalies
variable,precipitation_sum,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,precipitation_sum,temperature_2m_max,wind_speed_10m_max,precipitation_sum,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,precipitation_sum,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,
city_name,,,,,,,,,,,,,,,,
Hong Kong,1.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0
Honiara,14.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,29.0
Hà Noi,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0
Islamabad,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
Jakarta,11.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,28.0
Jamestown,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jerusalem,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
Juba,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0
Kabul,2.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0
Kampala,6.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,25.0
Kathmandu,1.0,0.0,0.0,0.0,15.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
